iter	Passed	Remaining
444	1202	1499
445	1205	1497
446	1207	1494
447	1210	1491
448	1213	1489
449	1216	1486
450	1219	1484
451	1222	1482
452	1225	1479
453	1227	1476
454	1230	1473
455	1233	1471
456	1236	1469
457	1239	1466
458	1241	1463
459	1244	1460
460	1247	1458
461	1250	1455
462	1252	1452
463	1255	1450
464	1259	1448
465	1262	1446
466	1265	1444
467	1268	1441
468	1270	1438
469	1273	1436
470	1276	1433
471	1279	1431
472	1282	1428
473	1284	1425
474	1287	1423
475	1290	1420
476	1293	1418
477	1296	1415
478	1299	1412
479	1301	1410
480	1304	1407
481	1307	1405
482	1310	1402
483	1312	1399
484	1315	1396
485	1318	1394
486	1321	1391
487	1323	1388
488	1326	1386
489	1329	1383
490	1331	1380
491	1334	1378
492	1337	1375
493	1340	1372
494	1342	1370
495	1345	1367
496	1348	1364
497	1351	1362
498	1354	1359
499	1356	1356
500	1359	1354
501	1362	1351
502	1365	1348
503	1367	1346
504	1370	1343
505	1373	1340
506	1376	1338
507	1379	1335
508	1381	1333
509	1385	1330
510	1388	1328
511	1391	1326
512	1394	1323
513	1397	1321
514	1400	1318
515	1402	1315
516	1405	1313
517	1408	1310
518	1411	1307
519	1414	1305
520	1416	1302
521	1419	1299
522	1422	1297
523	1425	1294
524	1427	1291
525	1430	1289
526	1433	1286
527	1436	1283
528	1439	1281
529	1441	1278
530	1444	1275
531	1447	1273
532	1450	1270
533	1453	1268
534	1456	1266
535	1459	1263
536	1462	1260
537	1465	1258
538	1467	1255
539	1470	1252
540	1473	1250
541	1476	1247
542	1478	1244
543	1481	1242
544	1484	1239
545	1487	1236
546	1489	1233
547	1492	1231
548	1495	1228
549	1498	1225
550	1501	1223
551	1503	1220
552	1506	1217
553	1508	1214
554	1511	1212
555	1514	1209
556	1517	1206
557	1520	1204
558	1522	1201
559	1525	1198
560	1528	1195
561	1530	1193
562	1533	1190
563	1536	1187
564	1539	1185
565	1541	1182
566	1544	1179
567	1547	1177
568	1550	1174
569	1553	1171
570	1556	1169
571	1559	1166
572	1562	1164
573	1565	1161
574	1568	1159
575	1571	1156
576	1574	1154
577	1577	1151
578	1580	1149
579	1582	1146
580	1586	1143
581	1588	1141
582	1591	1138
583	1594	1135
584	1597	1133
585	1599	1130
586	1602	1127
587	1605	1124
588	1607	1122
589	1610	1119
590	1613	1116
591	1616	1113
592	1618	1111
593	1621	1108
594	1624	1105
595	1627	1103
596	1630	1100
597	1632	1097
598	1635	1094
599	1638	1092
600	1641	1089
601	1643	1086
602	1646	1084
603	1649	1081
