iter	Passed	Remaining
408	1868	2700
409	1871	2693
410	1874	2686
411	1877	2679
412	1880	2672
413	1882	2665
414	1886	2658
415	1888	2651
416	1891	2644
417	1894	2638
418	1898	2632
419	1901	2625
420	1903	2618
421	1906	2611
422	1910	2605
423	1913	2598
424	1915	2592
425	1918	2585
426	1922	2579
427	1925	2573
428	1928	2566
429	1930	2559
430	1933	2552
431	1936	2546
432	1939	2539
433	1942	2533
434	1945	2526
435	1948	2520
436	1951	2514
437	1954	2507
438	1957	2501
439	1960	2494
440	1963	2488
441	1965	2481
442	1968	2475
443	1971	2468
444	1974	2462
445	1977	2455
446	1979	2449
447	1982	2443
448	1986	2437
449	1988	2430
450	1991	2424
451	1994	2417
452	1996	2411
453	1999	2404
454	2002	2398
455	2005	2392
456	2008	2386
457	2011	2380
458	2014	2374
459	2017	2368
460	2020	2362
461	2023	2356
462	2026	2350
463	2029	2344
464	2032	2338
465	2035	2332
466	2037	2325
467	2041	2320
468	2044	2314
469	2046	2308
470	2049	2301
471	2052	2295
472	2055	2289
473	2057	2283
474	2060	2277
475	2063	2271
476	2066	2265
477	2069	2259
478	2072	2253
479	2074	2247
480	2077	2241
481	2080	2235
482	2083	2229
483	2086	2224
484	2089	2218
485	2091	2212
486	2094	2206
487	2097	2200
488	2100	2194
489	2102	2188
490	2105	2182
491	2108	2176
492	2111	2170
493	2114	2165
494	2117	2159
495	2119	2153
496	2122	2148
497	2125	2142
498	2128	2137
499	2131	2131
500	2135	2126
501	2138	2121
502	2142	2117
503	2145	2111
504	2149	2106
505	2152	2101
506	2156	2097
507	2159	2091
508	2163	2086
509	2166	2081
510	2169	2076
511	2173	2071
512	2176	2065
513	2179	2060
514	2182	2055
515	2186	2051
516	2189	2045
517	2193	2041
518	2196	2035
519	2200	2030
520	2203	2026
521	2207	2021
522	2211	2016
523	2214	2011
524	2218	2006
525	2221	2001
526	2223	1996
527	2226	1990
528	2229	1985
529	2233	1980
530	2236	1975
531	2239	1970
532	2244	1966
533	2246	1960
534	2249	1955
535	2252	1949
536	2255	1944
537	2258	1939
538	2261	1934
539	2264	1928
540	2267	1923
541	2270	1918
542	2273	1913
543	2276	1908
544	2279	1902
545	2282	1897
546	2284	1892
547	2287	1887
548	2290	1881
549	2293	1876
550	2296	1871
551	2299	1866
552	2302	1860
553	2305	1855
554	2308	1850
555	2310	1845
556	2313	1840
557	2317	1835
558	2319	1830
559	2322	1825
560	2325	1819
561	2329	1815
562	2332	1810
563	2335	1805
564	2339	1801
565	2342	1796
566	2346	1791
567	2350	1787
568	2352	1782
569	2355	1777
570	2358	1771
571	2362	1767
572	2365	1762
573	2368	1757
574	2370	1752
575	2373	1747
576	2378	1743
577	2380	1738
578	2384	1733
579	2387	1728
580	2390	1724
581	2393	1719
582	2397	1714
583	2399	1709
584	2403	1704
585	2406	1700
586	2409	1695
587	2412	1690
588	2415	1685
589	2418	1680
590	2421	1675
591	2424	1670
592	2427	1665
593	2430	1661
594	2434	1656
595	2437	1651
596	2439	1646
597	2442	1641
598	2445	1636
599	2448	1632
600	2451	1627
601	2453	1622
602	2456	1617
603	2459	1612
604	2463	1608
605	2466	1603
606	2470	1599
607	2472	1594
608	2475	1589
609	2478	1584
610	2481	1580
611	2484	1575
612	2487	1570
613	2490	1565
614	2493	1561
615	2496	1556
616	2499	1551
617	2501	1546
618	2504	1541
619	2509	1537
620	2512	1533
621	2515	1528
622	2518	1524
623	2522	1519
624	2525	1515
625	2527	1510
626	2530	1505
627	2533	1500
628	2537	1496
629	2540	1491
630	2542	1487
631	2545	1482
632	2548	1477
633	2551	1473
634	2554	1468
635	2557	1463
636	2559	1458
637	2562	1454
638	2565	1449
639	2568	1444
640	2571	1440
641	2573	1435
642	2576	1430
643	2580	1426
644	2583	1421
645	2585	1417
646	2588	1412
647	2591	1407
648	2594	1403
649	2597	1398
650	2599	1393
651	2602	1389
652	2605	1384
653	2608	1379
654	2611	1375
655	2613	1370
656	2616	1366
657	2619	1361
658	2622	1356
659	2624	1352
660	2628	1347
661	2630	1343
662	2633	1338
